Start Time,End Time,sentence,sub-emotion,Intensity,emotion
"00:00:00,000","00:00:05,000","After Asia, Africa, the United States and Latin America,",neutral,neutral,neutral
"00:00:05,000","00:00:08,000","The Mercedes fly over 16,000 kilometers from their home",neutral,neutral,neutral
"00:00:08,000","00:00:10,000",And put their suitcase in Australia.,neutral,neutral,neutral
"00:00:18,000","00:00:20,000","Together, they take up the challenge of winning in Australia",excitement,moderate,positive
"00:00:20,000","00:00:22,000",And to discover this magnificent country,curiosity,mild,unknown
"00:00:24,000","00:00:25,000",than astonishing.,surprise,mild,neutral
"00:00:26,000","00:00:28,000",Are you ready?,excitement,mild,positive
"00:00:29,000","00:00:32,000","Faced with the professional challenge that their spear will be their ibex,",curiosity,mild,unknown
"00:00:32,000","00:00:35,000",Marseillais will have to adapt to Australian methods,optimism,moderate,unknown
"00:00:35,000","00:00:38,000",Because here it does not laugh.,disapproval,mild,unknown
"00:00:44,000","00:00:47,000","But if necessary, the Marseillais know that they can count on their friends",caring,mild,unknown
"00:00:47,000","00:00:48,000",To lend them a hand.,caring,mild,unknown
"00:00:49,000","00:00:51,000",I was told that we were partying here!,excitement,moderate,positive
"00:00:52,000","00:00:53,000",We're going to break everything!,excitement,intense,positive
"00:00:54,000","00:00:57,000","And if everyone knows, the Marseillais fear nothing and anyone.",pride,intense,unknown
"00:00:57,000","00:00:59,000",Here they will have to prove it.,optimism,moderate,unknown
"00:01:02,000","00:01:03,000",And beware of large chills.,fear,mild,negative
"00:01:06,000","00:01:07,000","Guys, but it's not alone!",nervousness,mild,unknown
"00:01:09,000","00:01:10,000",The guys where?,confusion,mild,unknown
"00:01:10,000","00:01:11,000",Nothing to fear.,neutral,neutral,neutral
"00:01:12,000","00:01:14,000","In Australia, love and emotion await the Marseillais.",optimism,mild,unknown
"00:01:14,000","00:01:16,000",She made me shine my eyes.,admiration,mild,unknown
"00:01:16,000","00:01:18,000","I hope that now, it will sparkle my heart.",desire,mild,unknown
"00:01:20,000","00:01:21,000",That's all there!,surprise,mild,neutral
"00:01:23,000","00:01:26,000",Some came together to Australia to test their couple.,curiosity,mild,unknown
"00:01:26,000","00:01:28,000",We have nothing to do together.,disappointment,moderate,unknown
"00:01:30,000","00:01:34,000","While for others, we must now prepare for a radical change of life.",,,unknown
"00:01:36,000","00:01:38,000",It's going to be complicated guys.,nervousness,moderate,unknown
"00:01:38,000","00:01:40,000",She has everything to take care of me.,gratitude,mild,unknown
"00:01:40,000","00:01:43,000","But during the adventure, Cupid will only do his head.",neutral,neutral,neutral
"00:01:44,000","00:01:45,000",But we especially put my couple in danger.,,,unknown
"00:01:45,000","00:01:47,000",I pass for a big pear.,embarrassment,mild,unknown
"00:01:48,000","00:01:50,000","And here, for many, the time for major decisions has come.",realization,moderate,unknown
"00:01:50,000","00:01:52,000",Now do you want to be my wife?,love,intense,unknown
"00:01:52,000","00:01:54,000","Yes, yes, yes.",joy,intense,positive
"00:01:54,000","00:01:56,000",And there are enough.,neutral,neutral,neutral
"00:01:58,000","00:02:03,000","To be able to stay as long as possible in Australia, no Marseillais must forget Rule number 1.",neutral,neutral,neutral
"00:02:03,000","00:02:05,000",Julien is the apprentice kings of problems.,amusement,mild,unknown
"00:02:07,000","00:02:09,000",The king of problems prowls and spares no one.,amusement,mild,unknown
"00:02:09,000","00:02:11,000",There is no problem.,neutral,neutral,neutral
"00:02:11,000","00:02:13,000",There is your ex in your bed.,surprise,moderate,neutral
"00:02:13,000","00:02:15,000",I don't want to have it anymore.,disgust,moderate,negative
"00:02:15,000","00:02:17,000","In fact, I get you in the air.",confusion,mild,unknown
"00:02:17,000","00:02:19,000",It's very cool.,amusement,mild,unknown
"00:02:19,000","00:02:21,000","Faced with problems, for the Marseillais, as always, a single solution, humor.",amusement,moderate,unknown
"00:02:29,000","00:02:33,000","At the end of the world, the Marseillais are more than ever a large family.",pride,moderate,unknown
"00:02:33,000","00:02:37,000","Day after day, you will live with them and share their stories.",neutral,neutral,neutral
"00:02:39,000","00:02:41,000",Marseillais!,excitement,mild,positive
"00:02:41,000","00:02:43,000",Marseillais!,excitement,mild,positive
"00:03:39,000","00:03:41,000",We had closed it there!,surprise,mild,neutral
"00:03:41,000","00:03:43,000",She takes the lead for nothing.,annoyance,mild,unknown
"00:03:43,000","00:03:45,000",Get closer a little.,neutral,neutral,neutral
"00:03:45,000","00:03:47,000","Clearly, it also makes me good to be a little separated from him.",relief,moderate,unknown
"00:03:47,000","00:03:49,000","But what is he doing, Kev?",confusion,mild,unknown
"00:03:49,000","00:03:51,000",It can be the return of the Jaguar.,curiosity,mild,unknown
"00:03:53,000","00:03:55,000",Smile the dads!,amusement,mild,unknown
"00:03:55,000","00:03:57,000","And one, four, and two, two, two, and three!",excitement,mild,positive
"00:04:03,000","00:04:05,000",It's good.,approval,mild,unknown
"00:04:05,000","00:04:07,000","Now, you have to go a little bit to serious things.",optimism,moderate,unknown
"00:04:07,000","00:04:09,000","For me, even a kiss, it's not the light.",disappointment,mild,unknown
"00:04:09,000","00:04:11,000","It's a joke, sorry.",embarrassment,mild,unknown
"00:04:11,000","00:04:13,000","No, but it's true.",realization,mild,unknown
"00:04:13,000","00:04:15,000",He wants to couple with her.,curiosity,mild,unknown
"00:04:15,000","00:04:17,000","Ah, but no, sorry, it's far too darling.",disapproval,mild,unknown
"00:04:17,000","00:04:19,000","And as they say, the inaccessible often attracts.",curiosity,mild,unknown
"00:04:21,000","00:04:23,000","Oh, calm down, baby.",caring,mild,unknown
"00:04:25,000","00:04:27,000","Quiet, quiet, tranquilou, tranquilou.",neutral,neutral,neutral
"00:04:27,000","00:04:29,000",The kiss will not be for now.,disappointment,mild,unknown
"00:04:29,000","00:04:31,000","No, not now, me.",neutral,neutral,neutral
"00:04:31,000","00:04:33,000","Oh, fool.",annoyance,mild,unknown
"00:04:33,000","00:04:35,000",I'm just ultra stressed.,nervousness,intense,unknown
"00:04:37,000","00:04:39,000",We're going to talk about it again yesterday.,curiosity,mild,unknown
"00:04:39,000","00:04:41,000","Me, it is yesterday that interests me.",curiosity,mild,unknown
"00:04:41,000","00:04:43,000",It happened unexpected things.,surprise,moderate,neutral
