Start Time,End Time,sentence,sub-emotion,Intensity,emotion
"00:00:00,000","00:00:02,000",This is my decision. The case has been finished. Thank you.,neutral,neutral,neutral
"00:00:31,000","00:00:34,000","If she falls down the stairs, I wouldn't mind. No.",anger,intense,unknown
"00:00:36,000","00:00:39,000","If she does sitting down, you are the time of the judge.",confusion,moderate,unknown
"00:00:40,000","00:00:44,000",Do you want to take those words back very quickly?,annoyance,moderate,unknown
"00:00:52,000","00:00:54,000",I am on my way to Gorkum.,neutral,neutral,neutral
"00:00:54,000","00:00:59,000",The 78-year-old Teunie lives there in a nice apartment with a private parking space.,neutral,neutral,neutral
"00:00:59,000","00:01:03,000","Well, super deluxe, thick for each other, you would think.",neutral,neutral,neutral
"00:01:03,000","00:01:05,000",But nothing could be further from the truth.,disappointment,moderate,unknown
"00:01:05,000","00:01:10,000","Because since a few years, Teunie is annoyed by the parking behavior of her neighbors.",annoyance,moderate,unknown
"00:01:10,000","00:01:16,000",They put their cars in such a way that Teunie can no longer go anywhere.,annoyance,moderate,unknown
"00:01:16,000","00:01:20,000",It comes across as anti -social parking behavior.,,,unknown
"00:01:20,000","00:01:25,000",You have to stick to the regulations and there is a P in the parking space.,annoyance,mild,unknown
"00:01:25,000","00:01:26,000",You don't have a multi -rights.,disapproval,moderate,unknown
"00:01:26,000","00:01:32,000","The neighbors in question, Olga and her family, do not understand what the neighbor is so concerned about.",confusion,mild,unknown
"00:01:32,000","00:01:35,000",She always has enough room to park her parent.,neutral,neutral,neutral
"00:01:35,000","00:01:37,000","No, there is another problem.",realization,mild,unknown
"00:01:37,000","00:01:39,000",And that lies with Teunie himself.,neutral,neutral,neutral
"00:01:39,000","00:01:41,000",She is a notorious whining.,disapproval,moderate,unknown
"00:01:41,000","00:01:44,000",She just has to stop that eternal whining.,annoyance,moderate,unknown
"00:01:44,000","00:01:46,000",We really do not stand in the way of anyone.,neutral,neutral,neutral
"00:01:46,000","00:01:48,000",And it's just a whining cheese.,disapproval,moderate,unknown
"00:01:48,000","00:01:51,000","In the meantime, the neighbors are driving each other considerably in the wheels.",annoyance,moderate,unknown
"00:01:51,000","00:01:55,000",And so it is high time that Master Visser and I travel to Gorkum ...,optimism,moderate,unknown
"00:01:55,000","00:01:59,000",Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,neutral,neutral,neutral
"00:02:13,000","00:02:15,000",Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,neutral,neutral,neutral
