Start Time,End Time,sentence,sub-emotion,Intensity,emotion
"00:00:00,000","00:00:04,000","John, they ask. Are you happy that your program has been around for ten years?",curiosity,mild,unknown
"00:00:04,000","00:00:08,000",And of course fantastic. So many beautiful memories.,joy,moderate,positive
"00:00:08,000","00:00:10,000",O!,surprise,mild,neutral
"00:00:12,000","00:00:14,000",Hallo?,neutral,neutral,neutral
"00:00:14,000","00:00:16,000",Ah!,surprise,mild,neutral
"00:00:16,000","00:00:18,000",Ah! Fuses!,confusion,mild,unknown
"00:00:18,000","00:00:20,000",I think we have to go back to basics.,realization,moderate,unknown
"00:00:20,000","00:00:23,000","I'm not leaving so quickly. No, I'm not leaving so quickly.",optimism,moderate,unknown
"00:00:23,000","00:00:25,000",Ah!,surprise,mild,neutral
"00:00:26,000","00:00:28,000","Come on, come on.",,,unknown
"00:00:28,000","00:00:32,000",Of course we also have drivers this year with their own issues in traffic.,neutral,neutral,neutral
"00:00:39,000","00:00:43,000",And how beautiful it is that we all these drivers ...,admiration,mild,unknown
"00:00:43,000","00:00:45,000",Woehoe!,excitement,intense,positive
"00:00:45,000","00:00:47,000",Ah!,surprise,mild,neutral
"00:00:47,000","00:00:49,000",Shaving.,neutral,neutral,neutral
"00:00:50,000","00:00:53,000","Yes, no, but I didn't mean that.",confusion,mild,unknown
"00:00:53,000","00:00:56,000",But I am very looking forward to it.,excitement,moderate,positive
"00:01:09,000","00:01:13,000",Welcome to a new season of the bad driver of the Netherlands.,neutral,neutral,neutral
"00:01:13,000","00:01:18,000",This anniversary year also exploded our mailbox from people who are really scared ...,fear,moderate,negative
"00:01:18,000","00:01:21,000",That it could go very wrong in traffic ...,fear,moderate,negative
"00:01:21,000","00:01:23,000","With their boyfriend, girlfriend or family member.",caring,mild,unknown
"00:01:23,000","00:01:27,000","So thanks for your registrations. Thanks, thanks.",gratitude,moderate,unknown
"00:01:27,000","00:01:28,000",Dank.,gratitude,mild,unknown
"00:01:28,000","00:01:30,000",I'm Shelly and this is Ricky.,neutral,neutral,neutral
"00:01:30,000","00:01:33,000",I nominated her for the bad driver of the Netherlands.,disapproval,moderate,unknown
"00:01:33,000","00:01:37,000",Ricky is 65 Plus and has had her driver's license for years.,neutral,neutral,neutral
"00:01:37,000","00:01:40,000","One thing, she has not been doing in the last 40 years.",curiosity,mild,unknown
"00:01:40,000","00:01:42,000","O, o, o, o, Ricky.",disapproval,mild,unknown
"00:01:42,000","00:01:44,000",I'm Michael. And this is Bradley.,neutral,neutral,neutral
"00:01:44,000","00:01:48,000","And especially with its anti -social, bulky, hysterical divagon behavior ...",disapproval,intense,unknown
"00:01:48,000","00:01:51,000",I nominate him as the bad driver of the Netherlands.,disapproval,moderate,unknown
"00:01:51,000","00:01:56,000",Bradley is 19 years young and lives with 37-year-old Michael.,neutral,neutral,neutral
"00:01:56,000","00:01:59,000","In terms of driving, Bradley in an old car you have to learn it.",neutral,neutral,neutral
"00:01:59,000","00:02:01,000",Hallo.,neutral,neutral,neutral
"00:02:01,000","00:02:03,000","He comes from the right, isn't it?",confusion,mild,unknown
"00:02:03,000","00:02:07,000",I am Petra and this is my charitable woman Myrthe.,neutral,neutral,neutral
"00:02:07,000","00:02:10,000","Myrthe and Petra, a duo with wedding plans.",joy,mild,positive
"00:02:10,000","00:02:13,000",The only thing that can get between the 2 freezers ...,curiosity,mild,unknown
"00:02:13,000","00:02:15,000",Is the driving style of Myrthe.,disapproval,mild,unknown
"00:02:15,000","00:02:17,000","Wow. At the table. That is finished, isn't it?",surprise,mild,neutral
"00:02:17,000","00:02:19,000",I'm Tara and this is Arne.,neutral,neutral,neutral
"00:02:19,000","00:02:22,000",And he is really the worst driver in the Netherlands.,disapproval,intense,unknown
