Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:07,000",Expeditie Robinson wordt mede mogelijk gemaakt door Eastbourne slaapsystemen.,Expeditie Robinson wordt mede mogelijk gemaakt door Eastbourne slaapsystemen.,Expedition Robinson is made possible in part by Eastbourne Sleep systems.,neutral,neutral
"00:00:30,000","00:00:37,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:01:00,000","00:01:19,000",Ik zit hier alleen op het eiland en ik begin echt te denken zo van wat nu eigenlijk?,Ik zit hier alleen op het eiland en ik begin echt te denken zo van wat nu eigenlijk?,I am here alone on the island and I am really starting to think so of what actually?,confusion,moderate
"00:01:19,000","00:01:24,000","Ja, misschien is er eigenlijk al een expeditie aan de gang ergens anders.","Ja, misschien is er eigenlijk al een expeditie aan de gang ergens anders.","Yes, maybe there is actually an expedition going on somewhere else.",curiosity,mild
"00:01:24,000","00:01:29,000",Ik pak bijvoorbeeld 16 personen en moet ik er daarna bij komen ofzo?,Ik pak bijvoorbeeld 16 personen en moet ik er daarna bij komen ofzo?,"For example, I grab 16 people and do I have to be added afterwards or something?",confusion,moderate
"00:01:29,000","00:01:32,000",Kan toch niet dat ik hier gewoon alleen ga zitten hé?,Kan toch niet dat ik hier gewoon alleen ga zitten hé?,"Can't I just sit here alone, huh?",annoyance,mild
"00:01:32,000","00:01:46,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:01:46,000","00:01:53,000","Wat gaat er door je heen als je helemaal alleen gedropt wordt op een onbewoond eiland, ver weg van alle beschaving?","Wat gaat er door je heen als je helemaal alleen gedropt wordt op een onbewoond eiland, ver weg van alle beschaving?","What goes through you if you are dropped all alone on an uninhabited island, far away from all civilization?",curiosity,moderate
"00:01:53,000","00:01:58,000","Hoe overleef je de honger, het ongedierte en de ondraaglijke hitte in je eentje?","Hoe overleef je de honger, het ongedierte en de ondraaglijke hitte in je eentje?","How do you survive the hunger, the vermin and the unbearable heat on your own?",curiosity,moderate
"00:01:58,000","00:02:02,000",Onze eerste deelnemer gaat het aan den lijve ondervinden.,Onze eerste deelnemer gaat het aan den lijve ondervinden.,Our first participant will experience it firsthand.,,
"00:02:02,000","00:02:06,000","Maar niet voor lang, want de andere expeditieleden zijn al onderweg naar het eiland.","Maar niet voor lang, want de andere expeditieleden zijn al onderweg naar het eiland.","But not for long, because the other expedition members are already on their way to the island.",relief,mild
"00:02:06,000","00:02:09,000","En dit jaar zijn het er veel, heel veel.","En dit jaar zijn het er veel, heel veel.","And this year there are many, many.",surprise,moderate
"00:02:09,000","00:02:13,000",Dit is Expeditie Robinson de 100.,Dit is Expeditie Robinson de 100.,This is Expedition Robinson de 100.,excitement,moderate
"00:02:13,000","00:02:21,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:02:43,000","00:02:53,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:03:13,000","00:03:21,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:03:43,000","00:03:51,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:03:51,000","00:03:59,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:03:59,000","00:04:07,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:04:07,000","00:04:17,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:04:17,000","00:04:24,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:04:24,000","00:04:26,000",We gingen met z'n allen op één boot.,We gingen met z'n allen op één boot.,We all went on one boat.,neutral,neutral
"00:04:26,000","00:04:29,000",Het was echt een beetje raasselachtig wat we konden verwachten.,Het was echt een beetje raasselachtig wat we konden verwachten.,It was really a bit razelish what we could expect.,confusion,mild
