Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:10,000","Het is vandaag een belangrijke dag, want jullie zijn er nog maar net, maar nu al moeten twee","Het is vandaag een belangrijke dag, want jullie zijn er nog maar net, maar nu al moeten twee","Today it is an important day, because you are only there, but already have two",,
"00:00:10,000","00:00:12,000",van jullie het eiland weer verlaten.,van jullie het eiland weer verlaten.,leave the island from you again.,neutral,neutral
"00:00:12,000","00:00:18,000","Maar zie het als een compliment, want eigenlijk willen de koppels hiermee zeggen dat ze jullie","Maar zie het als een compliment, want eigenlijk willen de koppels hiermee zeggen dat ze jullie","But see it as a compliment, because the couples actually want to say that they are you",admiration,mild
"00:00:18,000","00:00:21,000",zien als de grootste bedreiging voor hun relatie.,zien als de grootste bedreiging voor hun relatie.,See as the greatest threat to their relationship.,fear,moderate
"00:00:21,000","00:00:25,000","Oké, hier zijn ze, de koppels!","Oké, hier zijn ze, de koppels!","Okay, here they are, the couples!",excitement,moderate
"00:00:26,000","00:00:30,000","De koppels zien elkaar een laatste keer terug, maar elk contact is verboden.","De koppels zien elkaar een laatste keer terug, maar elk contact is verboden.","The couples see each other one last time, but every contact is forbidden.",sadness,mild
"00:00:33,000","00:00:36,000","Dat is super zenuwachtig, want je weet niet hoe het is geweest.","Dat is super zenuwachtig, want je weet niet hoe het is geweest.","That is super nervous, because you don't know what it was like.",nervousness,intense
"00:00:36,000","00:00:40,000","Ik weet dat het bij ons een heftig feestje was, en dan heb je zoiets van, oh, hij is","Ik weet dat het bij ons een heftig feestje was, en dan heb je zoiets van, oh, hij is","I know it was a fierce party with us, and then you have something like that, oh, he's",curiosity,moderate
"00:00:40,000","00:00:43,000",daar vast ook geweest en wat is er allemaal gebeurd.,daar vast ook geweest en wat is er allemaal gebeurd.,Been there too and what happened.,curiosity,moderate
"00:00:43,000","00:00:45,000","Ja, dan ben je gewoon zenuwachtig.","Ja, dan ben je gewoon zenuwachtig.","Yes, then you are just nervous.",nervousness,intense
"00:00:45,000","00:00:49,000",Maar we keken elkaar aan en hij deed al gelijk zo van...,Maar we keken elkaar aan en hij deed al gelijk zo van...,But we looked at each other and he did right away ...,neutral,neutral
"00:00:49,000","00:00:50,000",Zo.,Zo.,Like this.,neutral,neutral
"00:00:50,000","00:00:54,000","Dus ja, dan weet je, dat mocht eigenlijk niet, maar je weet het toch eigenlijk wel,","Dus ja, dan weet je, dat mocht eigenlijk niet, maar je weet het toch eigenlijk wel,","So yes, then you know, that wasn't actually allowed, but you actually know,",realization,mild
"00:00:54,000","00:00:55,000",dus het is gewoon goed.,dus het is gewoon goed.,So it's just good.,relief,mild
"00:00:55,000","00:00:57,000","Tim, een zware avond gehad?","Tim, een zware avond gehad?","Tim, had a tough evening?",neutral,neutral
"00:00:57,000","00:01:03,000","Ik ben bij een James gaan slapen, en ja, niet dat ik zo zat, want ik had gewoon zin","Ik ben bij een James gaan slapen, en ja, niet dat ik zo zat, want ik had gewoon zin","I went to sleep with a james, and yes, not that I was so fed up, because I just felt like it",neutral,neutral
"00:01:03,000","00:01:04,000",om bij een James te slapen.,om bij een James te slapen.,To sleep with a James.,neutral,neutral
"00:01:04,000","00:01:06,000","Ik wou zeggen, dat is niet helemaal de bedoeling, maar...","Ik wou zeggen, dat is niet helemaal de bedoeling, maar...","I wanted to say, that's not entirely the intention, but ...",neutral,neutral
"00:01:07,000","00:01:08,000",James?,James?,James?,curiosity,mild
"00:01:08,000","00:01:09,000",Ja?,Ja?,And?,curiosity,mild
"00:01:09,000","00:01:10,000",Ook te diep in het glaasje gekeken?,Ook te diep in het glaasje gekeken?,Also looked too deep in the glass?,disapproval,mild
"00:01:10,000","00:01:13,000","Ah, voor de rest is alles goed.","Ah, voor de rest is alles goed.","Ah, everything else is fine.",relief,mild
"00:01:13,000","00:01:14,000",Perfect.,Perfect.,Perfect.,neutral,neutral
"00:01:15,000","00:01:18,000",Ik zag dat mijn vriend wel heel veel gedronken had.,Ik zag dat mijn vriend wel heel veel gedronken had.,I saw that my friend had drunk a lot.,,
"00:01:18,000","00:01:23,000","Dan zie ik aan zijn gezicht, dan wordt hij bleek en begint hij zo een beetje anders te kijken.","Dan zie ik aan zijn gezicht, dan wordt hij bleek en begint hij zo een beetje anders te kijken.","Then I see his face, then he becomes pale and he starts looking a little differently.",,
"00:01:23,000","00:01:27,000","Ik zag dat hij heel veel gedronken had, maar hij heeft de controle volledig behouden.","Ik zag dat hij heel veel gedronken had, maar hij heeft de controle volledig behouden.","I saw that he had drunk a lot, but he has completely kept control.",relief,mild
"00:01:27,000","00:01:33,000","Ik denk niet dat je, als je een man met zo tien vrouwen ergens op een eiland zit,","Ik denk niet dat je, als je een man met zo tien vrouwen ergens op een eiland zit,","I don't think you are, if you are a man with about ten women somewhere on an island,",disapproval,moderate
"00:01:33,000","00:01:35,000",dat je die honderd procent kunt vertrouwen.,dat je die honderd procent kunt vertrouwen.,That you can trust that one hundred percent.,,
