Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:06,000",Every minute one of these 20 contestants will be eliminated and lose half a million dollars,Every minute one of these 20 contestants will be eliminated and lose half a million dollars,Every minute one of these 20 contestants will be eliminated and lose half a million dollars,,
"00:00:10,000","00:00:12,000",Start the timer,Start the timer,Start the timer,neutral,neutral
"00:00:15,000","00:00:18,000",What are we gonna do like do we just stand here,What are we gonna do like do we just stand here,What are we gonna do like do we just stand here,confusion,mild
"00:00:19,000","00:00:24,000",Every 60 seconds someone gets eliminated. The only context they have is what's displayed on their tablet,Every 60 seconds someone gets eliminated. The only context they have is what's displayed on their tablet,Every 60 seconds someone gets eliminated. The only context they have is what's displayed on their tablet,confusion,moderate
"00:00:24,000","00:00:27,000",Let's see if they figure it out. So it's to vote for someone,Let's see if they figure it out. So it's to vote for someone,Let's see if they figure it out. So it's to vote for someone,curiosity,mild
"00:00:27,000","00:00:31,000",What do you guys want to vote for? Is it vote for someone to stay or someone to leave? I don't know,What do you guys want to vote for? Is it vote for someone to stay or someone to leave? I don't know,What do you guys want to vote for? Is it vote for someone to stay or someone to leave? I don't know,confusion,moderate
"00:00:33,000","00:00:38,000",I think I'm in shock. All of our numbers are on there. 10 seconds to elimination. No,I think I'm in shock. All of our numbers are on there. 10 seconds to elimination. No,I think I'm in shock. All of our numbers are on there. 10 seconds to elimination. No,,
"00:00:48,000","00:00:55,000","Since half of you could not agree on someone to eliminate someone has to now randomly be eliminated. Oh, you're kidding me","Since half of you could not agree on someone to eliminate someone has to now randomly be eliminated. Oh, you're kidding me","Since half of you could not agree on someone to eliminate someone has to now randomly be eliminated. Oh, you're kidding me",surprise,intense
"00:00:55,000","00:00:57,000",Hopefully next round you can work together,Hopefully next round you can work together,Hopefully next round you can work together,optimism,mild
"00:01:11,000","00:01:14,000",Every minute someone will be eliminated start the timer,Every minute someone will be eliminated start the timer,Every minute someone will be eliminated start the timer,,
"00:01:16,000","00:01:19,000",In this video time is not your friend,In this video time is not your friend,In this video time is not your friend,fear,moderate
"00:01:19,000","00:01:25,000",Constant pressure forces split-second decisions that could make or break your chance at winning,Constant pressure forces split-second decisions that could make or break your chance at winning,Constant pressure forces split-second decisions that could make or break your chance at winning,nervousness,intense
"00:01:26,000","00:01:29,000","$500,000 if no one votes for anyone then it's just odd","$500,000 if no one votes for anyone then it's just odd","$500,000 if no one votes for anyone then it's just odd",confusion,mild
"00:01:29,000","00:01:29,000",Yeah,Yeah,Yeah,neutral,neutral
"00:01:29,000","00:01:32,000",More than half of us have to agree to drop one person,More than half of us have to agree to drop one person,More than half of us have to agree to drop one person,optimism,moderate
"00:01:32,000","00:01:38,000",Let's see if they can make a decision this time and the one thing that these contestants all have in common is that they competed,Let's see if they can make a decision this time and the one thing that these contestants all have in common is that they competed,Let's see if they can make a decision this time and the one thing that these contestants all have in common is that they competed,curiosity,mild
"00:01:38,000","00:01:42,000",And were eliminated in my global hit series on prime video beast games,And were eliminated in my global hit series on prime video beast games,And were eliminated in my global hit series on prime video beast games,pride,mild
"00:01:42,000","00:01:49,000",I don't want to drop through this platform again. And some of them even eliminated others to win money for themselves,I don't want to drop through this platform again. And some of them even eliminated others to win money for themselves,I don't want to drop through this platform again. And some of them even eliminated others to win money for themselves,fear,moderate
"00:01:49,000","00:01:54,000","We gotta vote for the people who already have money from these games. It's 17, 12 and 2. Those are the three numbers","We gotta vote for the people who already have money from these games. It's 17, 12 and 2. Those are the three numbers","We gotta vote for the people who already have money from these games. It's 17, 12 and 2. Those are the three numbers",,
"00:01:54,000","00:01:55,000",Okay,Okay,Okay,neutral,neutral
"00:01:55,000","00:02:01,000",I feel like some people deserve to get eliminated if they took the bribe. A couple people didn't experience the drop yet. With the fear of,I feel like some people deserve to get eliminated if they took the bribe. A couple people didn't experience the drop yet. With the fear of,I feel like some people deserve to get eliminated if they took the bribe. A couple people didn't experience the drop yet. With the fear of,disapproval,moderate
"00:02:01,000","00:02:07,000",Random elimination. Everyone vote. The contestants knew they'd have to team up to control the situation,Random elimination. Everyone vote. The contestants knew they'd have to team up to control the situation,Random elimination. Everyone vote. The contestants knew they'd have to team up to control the situation,optimism,moderate
"00:02:08,000","00:02:10,000","Yes, yes","Yes, yes","Yes, yes",approval,mild
"00:02:13,000","00:02:19,000",And this is just one of seven intense social experiments that these 19 contestants will face,And this is just one of seven intense social experiments that these 19 contestants will face,And this is just one of seven intense social experiments that these 19 contestants will face,,
"00:02:20,000","00:02:22,000",Where time is their number one enemy,Where time is their number one enemy,Where time is their number one enemy,fear,moderate
"00:02:32,000","00:02:35,000",Let's see if you guys can agree on who to eliminate,Let's see if you guys can agree on who to eliminate,Let's see if you guys can agree on who to eliminate,curiosity,mild
"00:02:35,000","00:02:37,000",Oh,Oh,Oh,surprise,mild
"00:02:41,000","00:02:45,000",Come on 17 received over half the votes,Come on 17 received over half the votes,Come on 17 received over half the votes,approval,mild
"00:02:49,000","00:02:51,000",We just wanted to give him the experience,We just wanted to give him the experience,We just wanted to give him the experience,amusement,mild
