Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:05,000","Manhunt 2024 in Bangkok, Leute! Let's fucking go!","Manhunt 2024 in Bangkok, Leute! Let's fucking go!","Manhunt 2024 in Bangkok, Leute! Let's fucking go!",excitement,intense
"00:00:05,000","00:00:08,000",Ausrüstung schnappen und das ist jetzt mal die erste Vorhut.,Ausrüstung schnappen und das ist jetzt mal die erste Vorhut.,Grab equipment and that's the first vanguard.,optimism,moderate
"00:00:08,000","00:00:10,000","Wir haben jetzt Position von Spieler 1, die ist recht nah hier bei uns.","Wir haben jetzt Position von Spieler 1, die ist recht nah hier bei uns.","We now have position of player 1, which is quite close to us here.",curiosity,mild
"00:00:10,000","00:00:12,000",Deswegen fahren wir da jetzt hin.,Deswegen fahren wir da jetzt hin.,That's why we're going there now.,optimism,moderate
"00:00:12,000","00:00:13,000",Sollen wir uns einsetzen?,Sollen wir uns einsetzen?,Should we work?,curiosity,mild
"00:00:15,000","00:00:16,000",Ich bin gespannt.,Ich bin gespannt.,I am excited.,excitement,intense
"00:00:16,000","00:00:19,000",Also wir legen uns auf die Pirsch sozusagen.,Also wir legen uns auf die Pirsch sozusagen.,"So we lie down on the game, so to speak.",neutral,neutral
"00:00:19,000","00:00:21,000",Khao San Road ist unser Ziel.,Khao San Road ist unser Ziel.,Khao San Road is our goal.,optimism,moderate
"00:00:24,000","00:00:28,000",Aber die Hunter sind nicht hier direkt neben ihm.,Aber die Hunter sind nicht hier direkt neben ihm.,But the Hunter are not right next to him.,neutral,neutral
"00:00:31,000","00:00:36,000","Hey Leute, bevor es weitergeht, haben wir noch ein paar wichtige Infos für euch.","Hey Leute, bevor es weitergeht, haben wir noch ein paar wichtige Infos für euch.","Hey guys before we continue, we have some important information for you.",neutral,neutral
"00:00:36,000","00:00:39,000",Wir bedanken uns wirklich für die zahlreichen Käufe in unserem Merchstore.,Wir bedanken uns wirklich für die zahlreichen Käufe in unserem Merchstore.,We really thank you for the numerous purchases in our Merchstore.,gratitude,moderate
"00:00:39,000","00:00:42,000","Ja, ihr unterstützt uns damit wahnsinnig.","Ja, ihr unterstützt uns damit wahnsinnig.","Yes, you support us insane.",gratitude,intense
"00:00:42,000","00:00:46,000",Wir haben hier zum Beispiel coole Hoodies mit unserem Manhunt-Logo drauf.,Wir haben hier zum Beispiel coole Hoodies mit unserem Manhunt-Logo drauf.,"For example, we have cool hoodies with our manhunt logo.",pride,mild
"00:00:46,000","00:00:51,000","Ihr könnt uns aber auch unterstützen, wenn ihr mit unserem Rabattcode, den ich euch da unten einblende,","Ihr könnt uns aber auch unterstützen, wenn ihr mit unserem Rabattcode, den ich euch da unten einblende,","But you can also support us if you with our discount code that I hide down there,",neutral,neutral
"00:00:51,000","00:00:53,000",euch eure neuen Holi-Getränke bestellt.,euch eure neuen Holi-Getränke bestellt.,Order your new Holi drinks to you.,neutral,neutral
"00:00:53,000","00:00:57,000","Genau, zeigt es unseren Sponsoren, dass wir eine starke Community haben","Genau, zeigt es unseren Sponsoren, dass wir eine starke Community haben","Exactly, it shows our sponsors, that we have a strong community",pride,moderate
"00:00:58,000","00:01:01,000","und dass es sich auszahlt, bei uns auch Werbung zu machen.","und dass es sich auszahlt, bei uns auch Werbung zu machen.",And that it pays off to advertise with us.,optimism,mild
"00:01:01,000","00:01:03,000","Genau, denn Weihnachten steht vor der Tür.","Genau, denn Weihnachten steht vor der Tür.","Exactly, because Christmas is just around the corner.",neutral,neutral
"00:01:03,000","00:01:05,000",Was wäre nicht cooler als ein Manhunt-Pullover?,Was wäre nicht cooler als ein Manhunt-Pullover?,What wouldn't be cooler than a manhunt sweater?,amusement,mild
