Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:05,000","Κάθε εβδομάδα, ο Έκτορας Μποτρίνη επισκέπτεται ένα εστιατόριο που αντιμετωπίζει προβλήματα και ζητήσει τη βοήθειά του.","Κάθε εβδομάδα, ο Έκτορας Μποτρίνη επισκέπτεται ένα εστιατόριο που αντιμετωπίζει προβλήματα και ζητήσει τη βοήθειά του.","Every week, Hector Botrini visits a restaurant facing problems and asks for his help.",neutral,neutral
"00:00:05,000","00:00:09,000","Ενώ ξεκινήσαμε καλά, μετά κάναμε μια μεγάλη κοιλιά.","Ενώ ξεκινήσαμε καλά, μετά κάναμε μια μεγάλη κοιλιά.","While we started well, then we made a big belly.",disappointment,moderate
"00:00:10,000","00:00:14,000",Αποστολή του να δώσει νέα πνοή στην επιχείρηση με το δικό του ξεχωριστό τρόπο.,Αποστολή του να δώσει νέα πνοή στην επιχείρηση με το δικό του ξεχωριστό τρόπο.,His mission to give a new impetus to the business in his own special way.,optimism,moderate
"00:00:15,000","00:00:18,000","Θα σου πω, απόψε θα το υδρώσεις.","Θα σου πω, απόψε θα το υδρώσεις.","I'll tell you, tonight you will water it.",curiosity,mild
"00:00:20,000","00:00:22,000",Έχει μόνο τέσσερις ημέρες για να τα καταφέρει.,Έχει μόνο τέσσερις ημέρες για να τα καταφέρει.,It only has four days to do it.,nervousness,moderate
"00:00:22,000","00:00:27,000",Θα μπορέσει μέσα σε αυτές να τους πείσει ότι η σοβαρότητα είναι το Ά και το Ω για μια επιτυχημένη πορεία.,Θα μπορέσει μέσα σε αυτές να τους πείσει ότι η σοβαρότητα είναι το Ά και το Ω για μια επιτυχημένη πορεία.,It will be able to convince them that seriousness is A and Z for a successful course.,optimism,moderate
"00:00:27,000","00:00:29,000","Εσύ είσαι μάγειρας παιδί μου, πού είσαι μάγος.","Εσύ είσαι μάγειρας παιδί μου, πού είσαι μάγος.","You are a cook my child, where are you a magician.",amusement,mild
"00:00:30,000","00:00:32,000",Ποιος είναι όμως ο Έκτορας Μποτρίνης.,Ποιος είναι όμως ο Έκτορας Μποτρίνης.,But who is Hector Botrin.,curiosity,mild
"00:00:32,000","00:00:36,000",Πρόκειται για έναν από τους καλύτερους και πιο δημιουργικούς εφ' της Ελλάδας.,Πρόκειται για έναν από τους καλύτερους και πιο δημιουργικούς εφ' της Ελλάδας.,It is one of the best and most creative in Greece.,admiration,moderate
"00:00:36,000","00:00:42,000",Τα εστιατόριά του στην Κέρκυρα και τη Θεσσαλονίκη αποτελούν πόλο έλξης για τους γκουμέωλ εις της χώρας.,Τα εστιατόριά του στην Κέρκυρα και τη Θεσσαλονίκη αποτελούν πόλο έλξης για τους γκουμέωλ εις της χώρας.,His restaurants in Corfu and Thessaloniki are an attraction for Gamel in the country.,pride,moderate
