Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:05,000",Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,excitement,intense
"00:00:07,000","00:00:13,000",Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,optimism,moderate
"00:00:20,000","00:00:26,000",But only the standout modeling talent were chosen as our final 14,But only the standout modeling talent were chosen as our final 14,But only the standout modeling talent were chosen as our final 14,pride,moderate
"00:00:26,000","00:00:28,000",Prepare for an adventure of a lifetime,Prepare for an adventure of a lifetime,Prepare for an adventure of a lifetime,excitement,intense
"00:00:29,000","00:00:36,000",All I can say girls for this fierce fifth season is be prepared to expect the unexpected,All I can say girls for this fierce fifth season is be prepared to expect the unexpected,All I can say girls for this fierce fifth season is be prepared to expect the unexpected,excitement,moderate
"00:00:36,000","00:00:41,000",With twists and turns at every corner. This is a crazy competition,With twists and turns at every corner. This is a crazy competition,With twists and turns at every corner. This is a crazy competition,excitement,intense
"00:00:41,000","00:00:46,000","If you don't really want to be here, it's short. They will stop at nothing to come out on top","If you don't really want to be here, it's short. They will stop at nothing to come out on top","If you don't really want to be here, it's short. They will stop at nothing to come out on top",optimism,intense
"00:00:48,000","00:00:52,000",I don't want to trust anyone with some of the top names in the industry,I don't want to trust anyone with some of the top names in the industry,I don't want to trust anyone with some of the top names in the industry,nervousness,moderate
"00:00:52,000","00:00:58,000",If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,amusement,moderate
"00:00:58,000","00:01:03,000",We'll kill it on the international stage. The challenges are tough,We'll kill it on the international stage. The challenges are tough,We'll kill it on the international stage. The challenges are tough,optimism,intense
"00:01:03,000","00:01:06,000",Much has happened man. The stakes are high,Much has happened man. The stakes are high,Much has happened man. The stakes are high,,
"00:01:10,000","00:01:12,000","Okay, I got my work cut out for me now","Okay, I got my work cut out for me now","Okay, I got my work cut out for me now",optimism,moderate
"00:01:13,000","00:01:21,000",This is not the end. This is only the beginning but only one will emerge as Asia's Next Top Model,This is not the end. This is only the beginning but only one will emerge as Asia's Next Top Model,This is not the end. This is only the beginning but only one will emerge as Asia's Next Top Model,,
"00:01:22,000","00:01:26,000",Let the games begin,Let the games begin,Let the games begin,excitement,intense
"00:02:22,000","00:02:24,000",And I'm from Malaysia I,And I'm from Malaysia I,And I'm from Malaysia I,neutral,neutral
"00:02:25,000","00:02:30,000",Would say that I'm a model with brains. I am putting my degree in whole,Would say that I'm a model with brains. I am putting my degree in whole,Would say that I'm a model with brains. I am putting my degree in whole,pride,moderate
"00:02:30,000","00:02:36,000",It's now or never and by one last shot before I jump back into the world of academia,It's now or never and by one last shot before I jump back into the world of academia,It's now or never and by one last shot before I jump back into the world of academia,optimism,intense
"00:02:39,000","00:02:46,000","Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta","Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta","Hello, I'm Valerie and I'm Veronica. We're 24 years old and we're from Jakarta",neutral,neutral
"00:02:47,000","00:02:50,000","Indonesia, of course, obviously, we're twins","Indonesia, of course, obviously, we're twins","Indonesia, of course, obviously, we're twins",neutral,neutral
"00:02:50,000","00:02:52,000",Double power,Double power,Double power,excitement,moderate
"00:02:53,000","00:02:58,000","It was my idea to come to Asia's Next Top Model, sorry, Veronica","It was my idea to come to Asia's Next Top Model, sorry, Veronica","It was my idea to come to Asia's Next Top Model, sorry, Veronica",pride,mild
"00:02:58,000","00:03:04,000","Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner","Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner","Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",optimism,intense
"00:03:07,000","00:03:09,000",It's gonna be me,It's gonna be me,It's gonna be me,,
"00:03:09,000","00:03:11,000",I,I,I,neutral,neutral
"00:03:13,000","00:03:17,000","Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I","Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I","Am Jennica Sanchez, I am 20 years old and I'm from Philippines. I",neutral,neutral
"00:03:18,000","00:03:21,000",Really love fashion. So I started my fashion blog. I have,Really love fashion. So I started my fashion blog. I have,Really love fashion. So I started my fashion blog. I have,pride,moderate
"00:03:22,000","00:03:28,000","70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica","70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica","70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",pride,moderate
"00:03:28,000","00:03:34,000",Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,optimism,intense
"00:03:39,000","00:03:41,000",My,My,My,neutral,neutral
"00:03:45,000","00:03:52,000","Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart","Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart","Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,neutral
"00:03:52,000","00:03:54,000",I just have this face. I'll just tell it,I just have this face. I'll just tell it,I just have this face. I'll just tell it,neutral,neutral
"00:03:55,000","00:03:57,000","When I go to primary school, I get bullied","When I go to primary school, I get bullied","When I go to primary school, I get bullied",sadness,moderate
"00:03:57,000","00:04:05,000",I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,optimism,intense
"00:04:09,000","00:04:10,000",Welcome ladies,Welcome ladies,Welcome ladies,neutral,neutral
"00:04:10,000","00:04:17,000",I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,pride,moderate
"00:04:17,000","00:04:21,000",I've worked for many global ad campaigns and worked alongside,I've worked for many global ad campaigns and worked alongside,I've worked for many global ad campaigns and worked alongside,pride,moderate
"00:04:22,000","00:04:25,000",Supermodels like Cindy Crawford and Naomi Campbell,Supermodels like Cindy Crawford and Naomi Campbell,Supermodels like Cindy Crawford and Naomi Campbell,admiration,moderate
"00:04:26,000","00:04:31,000",Wow Cara is so beautiful. She's tall and she's so poised,Wow Cara is so beautiful. She's tall and she's so poised,Wow Cara is so beautiful. She's tall and she's so poised,admiration,intense
"00:04:31,000","00:04:37,000",It's insanely surreal. Of course your journey cannot begin,It's insanely surreal. Of course your journey cannot begin,It's insanely surreal. Of course your journey cannot begin,,
"00:04:37,000","00:04:41,000",Without first bringing out your amazing host,Without first bringing out your amazing host,Without first bringing out your amazing host,admiration,mild
"00:04:42,000","00:04:43,000",the gorgeous,the gorgeous,the gorgeous,admiration,moderate
"00:04:43,000","00:04:45,000",your superstar,your superstar,your superstar,admiration,moderate
"00:04:45,000","00:04:48,000",confidant the ever so graceful,confidant the ever so graceful,confidant the ever so graceful,admiration,moderate
"00:04:48,000","00:04:50,000",Cindy Bishop,Cindy Bishop,Cindy Bishop,neutral,neutral
"00:04:53,000","00:04:57,000","It's Cindy she just walked across I was like, whoa","It's Cindy she just walked across I was like, whoa","It's Cindy she just walked across I was like, whoa",surprise,intense
"00:04:58,000","00:05:02,000","She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi","She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi","She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",admiration,moderate
"00:05:07,000","00:05:13,000",So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,excitement,intense
"00:05:13,000","00:05:15,000",It's all about celebrating,It's all about celebrating,It's all about celebrating,joy,moderate
"00:05:16,000","00:05:23,000",Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,admiration,moderate
"00:05:23,000","00:05:31,000",We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,desire,moderate
"00:05:32,000","00:05:39,000",Someone that is worthy of the top model title model is my person. This is my dream and now see I'm here,Someone that is worthy of the top model title model is my person. This is my dream and now see I'm here,Someone that is worthy of the top model title model is my person. This is my dream and now see I'm here,,
"00:05:40,000","00:05:46,000","99% I want to be the Asian list of model, but 100% I want to win","99% I want to be the Asian list of model, but 100% I want to win","99% I want to be the Asian list of model, but 100% I want to win",desire,intense
"00:05:46,000","00:05:49,000",14 beautiful women from all across Asia,14 beautiful women from all across Asia,14 beautiful women from all across Asia,neutral,neutral
"00:05:50,000","00:05:57,000",Here for one thing and one thing only and that is to prove that you've got what it takes to be Asia's next top,Here for one thing and one thing only and that is to prove that you've got what it takes to be Asia's next top,Here for one thing and one thing only and that is to prove that you've got what it takes to be Asia's next top,,
"00:05:57,000","00:05:58,000",model,model,model,,
"00:05:58,000","00:06:05,000",All I can say girls for this fierce fifth season is be prepared to expect the unexpected,All I can say girls for this fierce fifth season is be prepared to expect the unexpected,All I can say girls for this fierce fifth season is be prepared to expect the unexpected,excitement,moderate
"00:06:07,000","00:06:11,000","So on that note ladies, welcome to Asia's next top model","So on that note ladies, welcome to Asia's next top model","So on that note ladies, welcome to Asia's next top model",excitement,moderate
"00:06:12,000","00:06:13,000",I,I,I,neutral,neutral
"00:06:13,000","00:06:19,000",Would say I'm definitely like a competitive person because I hate losing I'll do whatever it takes,Would say I'm definitely like a competitive person because I hate losing I'll do whatever it takes,Would say I'm definitely like a competitive person because I hate losing I'll do whatever it takes,,
"00:06:19,000","00:06:26,000","Honestly, I want to win it. Oh, wait, wait, wait girls. I almost forgot your very first challenge of the season","Honestly, I want to win it. Oh, wait, wait, wait girls. I almost forgot your very first challenge of the season","Honestly, I want to win it. Oh, wait, wait, wait girls. I almost forgot your very first challenge of the season",,
"00:06:26,000","00:06:28,000",Starts right now,Starts right now,Starts right now,neutral,neutral
"00:06:29,000","00:06:31,000",Come on out Pia,Come on out Pia,Come on out Pia,,
"00:06:35,000","00:06:41,000","So Pia walks out with six male models, which are like half naked","So Pia walks out with six male models, which are like half naked","So Pia walks out with six male models, which are like half naked",amusement,mild
"00:06:42,000","00:06:44,000",beautiful abs and I'm thinking,beautiful abs and I'm thinking,beautiful abs and I'm thinking,desire,mild
"00:06:45,000","00:06:47,000",Damn,Damn,Damn,annoyance,mild
"00:06:49,000","00:06:54,000",So ladies meet your first special guest of the competition,So ladies meet your first special guest of the competition,So ladies meet your first special guest of the competition,excitement,moderate
"00:06:54,000","00:07:01,000",Model actress Miss Universe 2015 from the Philippines is stunningly gorgeous. Miss Pia Wurtzbach. I,Model actress Miss Universe 2015 from the Philippines is stunningly gorgeous. Miss Pia Wurtzbach. I,Model actress Miss Universe 2015 from the Philippines is stunningly gorgeous. Miss Pia Wurtzbach. I,,
"00:07:03,000","00:07:07,000",Can't believe that Pia Wurtzbach is actually here,Can't believe that Pia Wurtzbach is actually here,Can't believe that Pia Wurtzbach is actually here,surprise,moderate
"00:07:07,000","00:07:14,000",So when I saw her I was like is this really happening as you can see I brought some hot companions with me,So when I saw her I was like is this really happening as you can see I brought some hot companions with me,So when I saw her I was like is this really happening as you can see I brought some hot companions with me,,
"00:07:15,000","00:07:17,000",They will be your co-stars for your first,They will be your co-stars for your first,They will be your co-stars for your first,neutral,neutral
"00:07:18,000","00:07:22,000",Gorilla lingerie catwalk challenge and that's happening right now,Gorilla lingerie catwalk challenge and that's happening right now,Gorilla lingerie catwalk challenge and that's happening right now,amusement,moderate
