Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:03,000",BOH-AM-Z 200%,BOH-AM-Z 200%,Boh-am-Z 200%,confusion,moderate
"00:00:03,000","00:00:09,000",ONLY ACTIVATES WHEN MEN'T ACTIVE,ONLY ACTIVATES WHEN MEN'T ACTIVE,ONLY ACTIVATES WHEN MEN'T ACTIVE,confusion,moderate
"00:00:11,000","00:00:19,000",LEST ARGUE,LEST ARGUE,LEST ARGUE,annoyance,moderate
"00:00:19,000","00:00:20,000",OUCH,OUCH,OUCH,,
"00:00:20,000","00:00:23,000",BECAUSE PEP rapt is my favorite boo and is 100% yellow,BECAUSE PEP rapt is my favorite boo and is 100% yellow,BECAUSE PEP rapt is my favorite boo and is 100% yellow,joy,mild
"00:00:23,000","00:00:25,000",WHOOKA WHOOKA WHOOKAPEW,WHOOKA WHOOKA WHOOKAPEW,WHOOKA WHOOKA WHOOKAPEW,amusement,mild
"00:00:25,000","00:00:25,000",F rect,F rect,F rect,neutral,neutral
"00:00:25,000","00:00:26,000",S rect,S rect,S rect,neutral,neutral
"00:00:26,000","00:00:26,000",S rect,S rect,S rect,neutral,neutral
"00:00:26,000","00:00:27,000",probably,probably,probably,neutral,neutral
"00:00:30,000","00:00:39,000",b,b,b,neutral,neutral
"00:00:39,000","00:00:39,000",b,b,b,neutral,neutral
"00:00:39,000","00:00:40,000",b,b,b,neutral,neutral
"00:00:40,000","00:00:41,000",b,b,b,neutral,neutral
"00:00:41,000","00:00:41,000",b,b,b,neutral,neutral
"00:00:41,000","00:00:44,000",HUP,HUP,HUP,surprise,mild
"00:00:44,000","00:00:44,000",bye,bye,bye,neutral,neutral
"00:00:44,000","00:00:44,000",bye,bye,bye,neutral,neutral
"00:00:44,000","00:00:45,000",bye,bye,bye,neutral,neutral
"00:00:45,000","00:00:48,000",i,i,i,neutral,neutral
"00:00:48,000","00:00:49,000",i,i,i,neutral,neutral
"00:00:49,000","00:00:50,000",i,i,i,neutral,neutral
"00:00:50,000","00:00:51,000",i,i,i,neutral,neutral
"00:00:51,000","00:00:53,000",i,i,i,neutral,neutral
"00:01:00,000","00:01:02,000",i,i,i,neutral,neutral
"00:01:02,000","00:01:04,000",i,i,i,neutral,neutral
"00:01:04,000","00:01:06,000",i,i,i,neutral,neutral
"00:01:06,000","00:01:08,000",i,i,i,neutral,neutral
"00:01:08,000","00:01:10,000",i,i,i,neutral,neutral
"00:01:10,000","00:01:12,000",i,i,i,neutral,neutral
"00:01:12,000","00:01:14,000",i,i,i,neutral,neutral
"00:01:14,000","00:01:16,000",i,i,i,neutral,neutral
"00:01:16,000","00:01:18,000",i,i,i,neutral,neutral
"00:01:18,000","00:01:20,000",i,i,i,neutral,neutral
"00:01:20,000","00:01:22,000",i,i,i,neutral,neutral
"00:01:22,000","00:01:24,000",i,i,i,neutral,neutral
"00:01:24,000","00:01:26,000",i,i,i,neutral,neutral
"00:01:26,000","00:01:28,000",i,i,i,neutral,neutral
"00:01:28,000","00:01:30,000",i,i,i,neutral,neutral
"00:01:30,000","00:01:32,000",i,i,i,neutral,neutral
"00:01:32,000","00:01:34,000",i,i,i,neutral,neutral
"00:01:34,000","00:01:36,000",i,i,i,neutral,neutral
