Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:15,000",София. В жилищен комплекс Зона Б-5 живеят Лиляна Георгиева и 13-годишната ѝ дъщеря Велина.,София. В жилищен комплекс Зона Б-5 живеят Лиляна Георгиева и 13-годишната ѝ дъщеря Велина.,Sofia. Lilyana Georgieva and her 13-year-old daughter Velina live in the B-5 residential complex.,neutral,neutral
"00:00:15,000","00:00:22,000","Откакто бащата на Велина изоставя семейството си преди 6 години, момичето е непрекъснато глезено от майка си.","Откакто бащата на Велина изоставя семейството си преди 6 години, момичето е непрекъснато глезено от майка си.","Ever since Velina's father abandoned her family 6 years ago, the girl has been constantly pampered by her mother.",sadness,moderate
"00:00:22,000","00:00:27,000","Почти няма желание, което Лиляна да не изпълнява на своята дъщеря.","Почти няма желание, което Лиляна да не изпълнява на своята дъщеря.",There is almost no desire that Liliana does not fulfill her daughter.,caring,intense
"00:00:27,000","00:00:35,000","Велина много тежко преживя разявата ни с бащай. Той беше обещал, че ще ѝ се обажда, че ще ѝ търси, но просто изчезна.","Велина много тежко преживя разявата ни с бащай. Той беше обещал, че ще ѝ се обажда, че ще ѝ търси, но просто изчезна.","Velina has a very difficult time to make a statement with her father. He had promised to call her to look for her, but he just disappeared.",disappointment,intense
"00:00:35,000","00:00:43,000","Тя много страдаше, много плачеше. Аз по някакъв начин исках да компенсирам неговата липса,","Тя много страдаше, много плачеше. Аз по някакъв начин исках да компенсирам неговата липса,","She suffered a lot, crying a lot. I somehow wanted to make up for his absence,",grief,intense
"00:00:43,000","00:00:51,000","затова си позволих да ѝ купувам всичко, каквото иска това да ѝ дам, обаче с годините ми се качи на главата.","затова си позволих да ѝ купувам всичко, каквото иска това да ѝ дам, обаче с годините ми се качи на главата.","So I allowed myself to buy her whatever she wants to give her, but for years my head got on my head.",remorse,moderate
"00:00:51,000","00:00:58,000","Отношенията между майка и дъщеря се влушават още повече, когато новият приятел на Лиляна, Теодор, се ненася да живее при тях,","Отношенията между майка и дъщеря се влушават още повече, когато новият приятел на Лиляна, Теодор, се ненася да живее при тях,","The relationship between mother and daughter gets crazy when Liliana's new friend, Theodore, disadvantages to live with them,",annoyance,moderate
"00:00:58,000","00:01:05,000",заедно с сина си Николай. Дори и най-дредната молба за помощ от страна на майката става повод за скандал.,заедно с сина си Николай. Дори и най-дредната молба за помощ от страна на майката става повод за скандал.,Together with his son Nicholas. Even the most common request for the mother's assistance is an occasion for a scandal.,annoyance,moderate
"00:01:05,000","00:01:12,000","Тая няма да стане. Ако мама смята да има права мизерите на Тея, Навлица и Теодор и Николай, няма да го бъде.","Тая няма да стане. Ако мама смята да има права мизерите на Тея, Навлица и Теодор и Николай, няма да го бъде.","This will not happen. If Mom plans to have the rights of the misers of the one, Naikor and Theodore and Nicholas, it will not be.",,
"00:01:12,000","00:01:16,000","Те не са ми никакви. Аз съм си в моята къста и ще си правя това, което искам.","Те не са ми никакви. Аз съм си в моята къста и ще си правя това, което искам.",They are not for me. I am in my part and I will do what I want.,,
