Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:02,000",Was ist deine Lieblingsstellung?,Was ist deine Lieblingsstellung?,What is your favorite position?,curiosity,mild
"00:00:06,000","00:00:07,000",Das ist Hamad.,Das ist Hamad.,This is Hamad.,neutral,neutral
"00:00:07,000","00:00:09,000",Voll viele von euch haben auf diese Folge gewartet.,Voll viele von euch haben auf diese Folge gewartet.,Many of you have been waiting for this episode.,excitement,moderate
"00:00:09,000","00:00:10,000",Und hier ist er.,Und hier ist er.,And here he is.,excitement,mild
"00:00:10,000","00:00:12,000",Er wird heute sieben Mädels gleichzeitig daten.,Er wird heute sieben Mädels gleichzeitig daten.,Today he becomes seven girls at the same time.,amusement,moderate
"00:00:12,000","00:00:14,000",Hinter diesem weißen Vorhang stehen sieben Mädels.,Hinter diesem weißen Vorhang stehen sieben Mädels.,There are seven girls behind this white curtain.,curiosity,mild
"00:00:14,000","00:00:16,000","Jeder ein anderes Outfit, jeder eine andere Persönlichkeit.","Jeder ein anderes Outfit, jeder eine andere Persönlichkeit.","Everyone a different outfit, everyone a different personality.",curiosity,mild
"00:00:16,000","00:00:18,000",Jede Runde fliegt eine raus.,Jede Runde fliegt eine raus.,Each round flies out.,curiosity,mild
"00:00:18,000","00:00:20,000",Und der Vorhang geht nach und nach weiter nach oben.,Und der Vorhang geht nach und nach weiter nach oben.,And the curtain gradually goes up.,curiosity,mild
"00:00:20,000","00:00:23,000",Denn am Ende bleibt nur eine übrig.,Denn am Ende bleibt nur eine übrig.,Because in the end only one remains.,curiosity,mild
"00:00:23,000","00:00:24,000",Dann stell dich mal vor.,Dann stell dich mal vor.,Then imagine.,curiosity,mild
"00:00:24,000","00:00:25,000",Ich bin Hamad.,Ich bin Hamad.,I am a hamad.,neutral,neutral
"00:00:25,000","00:00:26,000",Ich bin Streamer.,Ich bin Streamer.,I am a streamer.,neutral,neutral
"00:00:26,000","00:00:28,000",23 Jahre alt und komme aus Paderborn.,23 Jahre alt und komme aus Paderborn.,23 years old and come from Paderborn.,neutral,neutral
"00:00:28,000","00:00:30,000",Und was suchst du in deiner Traumfrau?,Und was suchst du in deiner Traumfrau?,And what are you looking for in your dream woman?,curiosity,mild
"00:00:30,000","00:00:33,000","Ich suche eine Person, mit der ich einfach Zeit verbringen möchte.","Ich suche eine Person, mit der ich einfach Zeit verbringen möchte.",I am looking for a person with whom I just want to spend time.,desire,moderate
"00:00:33,000","00:00:36,000","Ich denke an sie und denke mir, ich wäre jetzt gerne mit ihr.","Ich denke an sie und denke mir, ich wäre jetzt gerne mit ihr.",I think of her and think I would like to be with her now.,desire,moderate
"00:00:36,000","00:00:38,000",Das ist so eine süße Antwort.,Das ist so eine süße Antwort.,This is such a sweet answer.,approval,mild
