Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:05,000","Hi, I'm Jimmy Kimmel and tonight's show is going to be different from our usual","Hi, I'm Jimmy Kimmel and tonight's show is going to be different from our usual","Hi, I'm Jimmy Kimmel and tonight's show is going to be different from our usual",neutral,neutral
"00:00:05,000","00:00:09,000",show. We don't have a studio audience here tonight because going forward with,show. We don't have a studio audience here tonight because going forward with,show. We don't have a studio audience here tonight because going forward with,neutral,neutral
"00:00:09,000","00:00:14,000",a comedy show didn't feel right considering what happened yesterday. So,a comedy show didn't feel right considering what happened yesterday. So,a comedy show didn't feel right considering what happened yesterday. So,sadness,mild
"00:00:14,000","00:00:19,000","I'd like to just speak to you directly. As you undoubtedly know, Kobe Bryant and","I'd like to just speak to you directly. As you undoubtedly know, Kobe Bryant and","I'd like to just speak to you directly. As you undoubtedly know, Kobe Bryant and",neutral,neutral
"00:00:19,000","00:00:23,000",his daughter Gianna and seven of their friends were killed in a helicopter,his daughter Gianna and seven of their friends were killed in a helicopter,his daughter Gianna and seven of their friends were killed in a helicopter,grief,intense
"00:00:23,000","00:00:31,000",crash yesterday here in Los Angeles and that was a punch in the gut for many of,crash yesterday here in Los Angeles and that was a punch in the gut for many of,crash yesterday here in Los Angeles and that was a punch in the gut for many of,grief,intense
"00:00:31,000","00:00:36,000","us. Kobe was, and I know this might not make sense, but he was just the last","us. Kobe was, and I know this might not make sense, but he was just the last","us. Kobe was, and I know this might not make sense, but he was just the last",grief,intense
"00:00:36,000","00:00:41,000",person you could ever imagine something like this happening to. He was so strong,person you could ever imagine something like this happening to. He was so strong,person you could ever imagine something like this happening to. He was so strong,admiration,moderate
"00:00:41,000","00:00:47,000",and handsome and smart and energetic. He was a hero and when I say that I don't,and handsome and smart and energetic. He was a hero and when I say that I don't,and handsome and smart and energetic. He was a hero and when I say that I don't,admiration,moderate
"00:00:47,000","00:00:51,000",mean a hero like real heroes like firefighters or doctors and nurses who,mean a hero like real heroes like firefighters or doctors and nurses who,mean a hero like real heroes like firefighters or doctors and nurses who,admiration,mild
"00:00:51,000","00:00:56,000",actually save lives. I don't mean to compare what he did for a living to what,actually save lives. I don't mean to compare what he did for a living to what,actually save lives. I don't mean to compare what he did for a living to what,neutral,neutral
"00:00:56,000","00:01:00,000",they do. I know there are more important things than basketball. Almost everything,they do. I know there are more important things than basketball. Almost everything,they do. I know there are more important things than basketball. Almost everything,realization,mild
"00:01:00,000","00:01:07,000","is more important, but Kobe was a hero in the way Superman is a hero. He was so big","is more important, but Kobe was a hero in the way Superman is a hero. He was so big","is more important, but Kobe was a hero in the way Superman is a hero. He was so big",admiration,moderate
"00:01:07,000","00:01:11,000",it was almost like he was a fictional character. He was a real-life superhero,it was almost like he was a fictional character. He was a real-life superhero,it was almost like he was a fictional character. He was a real-life superhero,admiration,moderate
