Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:03,000",Dit is mijn beslissing en de zaak is afgedaan. Dank u wel.,Dit is mijn beslissing en de zaak is afgedaan. Dank u wel.,This is my decision and the case has been settled. Thank you.,neutral,neutral
"00:00:30,000","00:00:35,000","Die man die begon van, ja maar wat doe jij hier? Wie ben jij? Je woont hier niet, dus oprotten.","Die man die begon van, ja maar wat doe jij hier? Wie ben jij? Je woont hier niet, dus oprotten.","That man who started from, yes but what are you doing here? Who are you? You don't live here, so get up.",annoyance,moderate
"00:00:35,000","00:00:40,000","Als je me echt goed kwaad maakt, kan ik heel goed uit mijn stekker gaan.","Als je me echt goed kwaad maakt, kan ik heel goed uit mijn stekker gaan.","If you really make me angry, I can go out very well.",anger,moderate
"00:00:41,000","00:00:43,000",Dit is geen respect wat je toont hoor.,Dit is geen respect wat je toont hoor.,This is not respect what you show.,disapproval,moderate
"00:00:43,000","00:00:44,000","Ja, dan ben ik gek aan het worden.","Ja, dan ben ik gek aan het worden.","Yes, I am getting crazy.",annoyance,moderate
"00:00:52,000","00:00:54,000",Ik ben onderweg naar het Rotterdamse Hoogvliet.,Ik ben onderweg naar het Rotterdamse Hoogvliet.,I am on my way to Hoogvliet in Rotterdam.,neutral,neutral
"00:00:54,000","00:00:59,000",Daar woont de 40-jarige Essie samen met haar dochtertje in een heerlijk appartement...,Daar woont de 40-jarige Essie samen met haar dochtertje in een heerlijk appartement...,There the 40-year-old Essie lives with her daughter in a wonderful apartment ...,neutral,neutral
"00:00:59,000","00:01:03,000",...wat ze de laatste jaren heeft omgetoverd tot een waar paleisje.,...wat ze de laatste jaren heeft omgetoverd tot een waar paleisje.,... what she has transformed into a true palace in recent years.,admiration,mild
"00:01:03,000","00:01:05,000","Niks te klagen, zou je dus zeggen.","Niks te klagen, zou je dus zeggen.","Nothing to complain, you would say.",neutral,neutral
"00:01:05,000","00:01:10,000",Behalve dan dat Essie de laatste tijd hoorndol wordt van het gestamp van haar bovenburen.,Behalve dan dat Essie de laatste tijd hoorndol wordt van het gestamp van haar bovenburen.,Except that Essie has recently become horny of the stamp of her upstairs neighbors.,annoyance,moderate
"00:01:10,000","00:01:14,000",Ik heb heel vaak het gevoel dat dat een soort van bewust gebeurt.,Ik heb heel vaak het gevoel dat dat een soort van bewust gebeurt.,Very often I feel that it happens a kind of conscious.,realization,mild
"00:01:15,000","00:01:19,000","Nou, we gaan gewoon lekker onze slippers aandoen en we gaan gewoon lekker stampen.","Nou, we gaan gewoon lekker onze slippers aandoen en we gaan gewoon lekker stampen.","Well, we're just going to put on our slippers and we are just going to stamp.",amusement,mild
"00:01:19,000","00:01:22,000","De bovenburen in kwestie, Fred en Marjon, zijn zich van geen kwaad bewust.","De bovenburen in kwestie, Fred en Marjon, zijn zich van geen kwaad bewust.","The upstairs neighbors in question, Fred and Marjon, are not aware of any harm.",confusion,mild
"00:01:23,000","00:01:26,000",Je mag tenslotte toch wel gewoon in je eigen huis rondlopen.,Je mag tenslotte toch wel gewoon in je eigen huis rondlopen.,"After all, you can just walk around in your own house.",neutral,neutral
"00:01:26,000","00:01:30,000",En bovendien zijn zij het eeuwige geklaag van Essie meer dan zat.,En bovendien zijn zij het eeuwige geklaag van Essie meer dan zat.,"And moreover, they are more than fed up with Essie's eternal complaining.",annoyance,moderate
"00:01:30,000","00:01:35,000","Waar het probleem vandaan komt wat de buurvrouw met ons heeft, weet ik niet.","Waar het probleem vandaan komt wat de buurvrouw met ons heeft, weet ik niet.",I don't know where the problem comes from what the neighbor has with us.,confusion,mild
"00:01:35,000","00:01:39,000","Ik kan niet in haar hoofd kijken, maar dat daar iets fout zit, ja.","Ik kan niet in haar hoofd kijken, maar dat daar iets fout zit, ja.","I can't look in her head, but that something is wrong there, yes.",,
"00:01:39,000","00:01:43,000","Het mogen duidelijk zijn, dit is geen zaak voor tere oortjes.","Het mogen duidelijk zijn, dit is geen zaak voor tere oortjes.","It may be clear, this is not a matter of delicate ears.",disapproval,mild
"00:01:43,000","00:01:45,000",Maar waar wringt hem nou toch de schoen?,Maar waar wringt hem nou toch de schoen?,But where does the shoe pinch him?,curiosity,mild
"00:01:45,000","00:01:49,000","Kortom, het is de hoogste tijd dat meester Visser zijn oor te luister komt leggen...","Kortom, het is de hoogste tijd dat meester Visser zijn oor te luister komt leggen...","In short, it is high time that Master Visser came to listen to his ear ...",fear,moderate
"00:01:49,000","00:01:51,000",...in dit langslepende burenconflict.,...in dit langslepende burenconflict.,... in this long -term neighbor conflict.,annoyance,moderate
"00:01:52,000","00:02:00,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:02:00,000","00:02:07,000","Als ik dan soms in de avonturen hier zit, dan hoor ik het geluid echt aan deze kant.","Als ik dan soms in de avonturen hier zit, dan hoor ik het geluid echt aan deze kant.","If I am sometimes in the adventures here, I really hear the sound on this side.",annoyance,mild
"00:02:07,000","00:02:14,000","Dan is het dan gewoon dat ik denk van, ja, weet je, je bent al zo lang bezig aan het lopen.","Dan is het dan gewoon dat ik denk van, ja, weet je, je bent al zo lang bezig aan het lopen.","Then it's just that I think so, yes, you know, you've been walking for so long.",neutral,neutral
"00:02:14,000","00:02:16,000",Ga rustig zitten of zo.,Ga rustig zitten of zo.,Sit down or something.,annoyance,mild
"00:02:16,000","00:02:18,000",MUZIEK,MUZIEK,MUSIC,neutral,neutral
"00:02:19,000","00:02:25,000","Het feit dat wij geluidsoverlast veroorzaken, is onmogelijk.","Het feit dat wij geluidsoverlast veroorzaken, is onmogelijk.",The fact that we cause noise pollution is impossible.,,
"00:02:25,000","00:02:29,000","Zoals je me net hebt zien liggen, lig ik vier van de vijf uur s'avonds.","Zoals je me net hebt zien liggen, lig ik vier van de vijf uur s'avonds.","As you just saw me, I am four of the five o'clock in the evening.",neutral,neutral
"00:02:29,000","00:02:31,000",Zo ligt mijn vrouw dan ook.,Zo ligt mijn vrouw dan ook.,That's how my wife lies.,neutral,neutral
