Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:02,000",Dit is mijn beslissing. De zaak is afgedaan. Dank u wel.,Dit is mijn beslissing. De zaak is afgedaan. Dank u wel.,This is my decision. The case has been finished. Thank you.,neutral,neutral
"00:00:31,000","00:00:34,000","Als ze van de trap afvalt, zou ik het niet erg vinden. Nee.","Als ze van de trap afvalt, zou ik het niet erg vinden. Nee.","If she falls down the stairs, I wouldn't mind. No.",anger,intense
"00:00:36,000","00:00:39,000","Als ze zittendikken doet, ben je tijd van de richter.","Als ze zittendikken doet, ben je tijd van de richter.","If she does sitting down, you are the time of the judge.",confusion,moderate
"00:00:40,000","00:00:44,000",Wil je even heel snel die woorden terugnemen?,Wil je even heel snel die woorden terugnemen?,Do you want to take those words back very quickly?,annoyance,moderate
"00:00:52,000","00:00:54,000",Ik ben onderweg naar Gorkum.,Ik ben onderweg naar Gorkum.,I am on my way to Gorkum.,neutral,neutral
"00:00:54,000","00:00:59,000",Daar woont de 78-jarige Teunie in een fijn appartement met een eigen parkeerplaats.,Daar woont de 78-jarige Teunie in een fijn appartement met een eigen parkeerplaats.,The 78-year-old Teunie lives there in a nice apartment with a private parking space.,neutral,neutral
"00:00:59,000","00:01:03,000","Nou, superdeluxe, dik voor mekaar, zou je dus denken.","Nou, superdeluxe, dik voor mekaar, zou je dus denken.","Well, super deluxe, thick for each other, you would think.",neutral,neutral
"00:01:03,000","00:01:05,000",Maar niets is minder waar.,Maar niets is minder waar.,But nothing could be further from the truth.,disappointment,moderate
"00:01:05,000","00:01:10,000",Want sinds een paar jaar ergert Teunie zich namelijk groen en geel aan het parkeergedrag van haar buren.,Want sinds een paar jaar ergert Teunie zich namelijk groen en geel aan het parkeergedrag van haar buren.,"Because since a few years, Teunie is annoyed by the parking behavior of her neighbors.",annoyance,moderate
"00:01:10,000","00:01:16,000","Die zetten hun auto's namelijk op een dusdanige manier neer, dat Teunie geen kant meer op kan.","Die zetten hun auto's namelijk op een dusdanige manier neer, dat Teunie geen kant meer op kan.",They put their cars in such a way that Teunie can no longer go anywhere.,annoyance,moderate
"00:01:16,000","00:01:20,000",Het komt op mijn over als asociaal parkeergedrag.,Het komt op mijn over als asociaal parkeergedrag.,It comes across as anti -social parking behavior.,,
"00:01:20,000","00:01:25,000",Je hebt je aan de reglementen te houden en er staat een P in het parkeervak.,Je hebt je aan de reglementen te houden en er staat een P in het parkeervak.,You have to stick to the regulations and there is a P in the parking space.,annoyance,mild
"00:01:25,000","00:01:26,000",Een meerrechten heb je niet.,Een meerrechten heb je niet.,You don't have a multi -rights.,disapproval,moderate
"00:01:26,000","00:01:32,000","De buren in kwestie, Olga en haar gezin, snappen niet waar de buurvrouw zich nou zo druk over maakt.","De buren in kwestie, Olga en haar gezin, snappen niet waar de buurvrouw zich nou zo druk over maakt.","The neighbors in question, Olga and her family, do not understand what the neighbor is so concerned about.",confusion,mild
"00:01:32,000","00:01:35,000",Ze heeft altijd ruimte genoeg om haar ouder te parkeren.,Ze heeft altijd ruimte genoeg om haar ouder te parkeren.,She always has enough room to park her parent.,neutral,neutral
"00:01:35,000","00:01:37,000","Nee, er is een ander probleem.","Nee, er is een ander probleem.","No, there is another problem.",realization,mild
"00:01:37,000","00:01:39,000",En dat ligt bij Teunie zelf.,En dat ligt bij Teunie zelf.,And that lies with Teunie himself.,neutral,neutral
"00:01:39,000","00:01:41,000",Ze is namelijk een notoire zeurkaus.,Ze is namelijk een notoire zeurkaus.,She is a notorious whining.,disapproval,moderate
"00:01:41,000","00:01:44,000",Ze moet gewoon ophouden met dat eeuwige gezeur.,Ze moet gewoon ophouden met dat eeuwige gezeur.,She just has to stop that eternal whining.,annoyance,moderate
"00:01:44,000","00:01:46,000",We staan echt helemaal niemand in de weg.,We staan echt helemaal niemand in de weg.,We really do not stand in the way of anyone.,neutral,neutral
"00:01:46,000","00:01:48,000",En het is gewoon een zeurkaus.,En het is gewoon een zeurkaus.,And it's just a whining cheese.,disapproval,moderate
"00:01:48,000","00:01:51,000",Inmiddels rijden de buren elkaar behoorlijk in de wielen.,Inmiddels rijden de buren elkaar behoorlijk in de wielen.,"In the meantime, the neighbors are driving each other considerably in the wheels.",annoyance,moderate
"00:01:51,000","00:01:55,000",En dus is het de hoogste tijd dat meester Visser en ik afreizen naar Gorkum...,En dus is het de hoogste tijd dat meester Visser en ik afreizen naar Gorkum...,And so it is high time that Master Visser and I travel to Gorkum ...,optimism,moderate
"00:01:55,000","00:01:59,000",om voor eens en voor altijd een einde te maken aan dit parkeerinfarct.,om voor eens en voor altijd een einde te maken aan dit parkeerinfarct.,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,neutral,neutral
