Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:07,000",С понедельника по пятницу пять совершенно разных людей ходят друг к другу в гости.,С понедельника по пятницу пять совершенно разных людей ходят друг к другу в гости.,"From Monday to Friday, five completely different people go to visit each other.",neutral,neutral
"00:00:07,000","00:00:11,000",Каждый из них имеет одинаковые условия при покупке продуктов.,Каждый из них имеет одинаковые условия при покупке продуктов.,Each of them has the same conditions when buying products.,neutral,neutral
"00:00:11,000","00:00:15,000",И только три часа на приготовление ужина из трёх блюд.,И только три часа на приготовление ужина из трёх блюд.,And only three hours to make a dinner of three dishes.,neutral,neutral
"00:00:15,000","00:00:19,000",Задача каждого продемонстрировать гостям все свои таланты.,Задача каждого продемонстрировать гостям все свои таланты.,The task of everyone is to demonstrate to guests all their talents.,neutral,neutral
"00:00:19,000","00:00:23,000",Что подать к столу и как развлекать гостей решает сам хозяин дома.,Что подать к столу и как развлекать гостей решает сам хозяин дома.,What to serve to the table and how to entertain the guests is decided by the owner of the house.,neutral,neutral
"00:00:23,000","00:00:26,000",Каждый вечер гости выставляют хозяину оценки.,Каждый вечер гости выставляют хозяину оценки.,"Every evening, guests put the assessment to the owner.",neutral,neutral
"00:00:26,000","00:00:29,000","И в пятницу мы узнаем имя победителя,","И в пятницу мы узнаем имя победителя,","And on Friday we will learn the name of the winner,",neutral,neutral
"00:00:29,000","00:00:32,000",который получит приз от программы «Званный ужин».,который получит приз от программы «Званный ужин».,which will receive a prize from the Dinner Continuent program.,neutral,neutral
"00:00:32,000","00:00:35,000","Победитель недели станет участником суперфинала,","Победитель недели станет участником суперфинала,","The winner of the week will become a participant in the superfinal,",neutral,neutral
"00:00:35,000","00:00:38,000",в котором встретятся лучшие из лучших.,в котором встретятся лучшие из лучших.,In which the best of the best will meet.,neutral,neutral
"00:00:38,000","00:00:41,000","Смотрите на канале РЕН-ТВ программу «Званный ужин»,","Смотрите на канале РЕН-ТВ программу «Званный ужин»,","See the Ren-TV channel ""Called Dinner"",",neutral,neutral
"00:00:41,000","00:00:46,000","в которой каждый может доказать, что именно он непревзойдённый хозяин.","в которой каждый может доказать, что именно он непревзойдённый хозяин.",In which everyone can prove that it is he who is an unsurpassed owner.,pride,mild
"00:00:59,000","00:01:04,000",Редактор субтитров А.Синецкая Корректор А.Егорова,Редактор субтитров А.Синецкая Корректор А.Егорова,Subtitrov editor A. Sinnetsk corrector A. Yegorov,neutral,neutral
"00:01:30,000","00:01:32,000",Готовы принять участие в нашем шоу.,Готовы принять участие в нашем шоу.,Ready to take part in our show.,excitement,mild
"00:01:32,000","00:01:36,000",Так что давайте знакомиться с новой пятёркой игроков.,Так что давайте знакомиться с новой пятёркой игроков.,So let's get acquainted with the new five players.,neutral,neutral
"00:01:36,000","00:01:38,000",Лектор Лидия Соколова-Сербская.,Лектор Лидия Соколова-Сербская.,Lecturer Lidia Sokolova-Serbskaya.,neutral,neutral
"00:01:38,000","00:01:41,000","Итак, я пришла на передачу «Званный ужин»,","Итак, я пришла на передачу «Званный ужин»,","So, I came to the program ""called dinner"",",neutral,neutral
"00:01:41,000","00:01:46,000","чтобы всем показать, что женщина всегда может обрести своё женское счастье,","чтобы всем показать, что женщина всегда может обрести своё женское счастье,","To show everyone that a woman can always gain her female happiness,",pride,moderate
"00:01:46,000","00:01:51,000",всегда быть в хорошем настроении и даже на пенсии быть востребованной.,всегда быть в хорошем настроении и даже на пенсии быть востребованной.,Always be in a good mood and even in retirement to be in demand.,optimism,moderate
