start_time,end_time,text,emotion,sub-emotion,intensity
00:00:00,00:00:04,Inside this box is the smallest computer cluster I've ever seen.,happiness,curiosity,mild
00:00:04,00:00:09,"And it gets all the power it needs through one network cable, at least if it actually works.",happiness,excitement,mild
00:00:09,00:00:12,This is a prototype of Sipeed's nanocluster.,happiness,excitement,mild
00:00:12,00:00:16,It promises to hold up to 7 Raspberry PI compute modules.,happiness,excitement,mild
00:00:16,00:00:22,"These things, each of these can have up to 16 gigabytes of RAM and a quad core ARM CPU.",happiness,excitement,mild
00:00:22,00:00:30,"That means this little thing could hold over 100 gigs of RAM and 28 cores of CPU power, all in the size of a coffee mug.",happiness,excitement,mild
00:00:30,00:00:36,"Through the magic of editing, you might be seeing some B roll of this thing running, but I don't even know if it'll work yet.",happiness,excitement,mild
00:00:36,00:00:39,So let's get it out of its box and build a PI cluster.,happiness,excitement,mild
00:00:40,00:00:47,So I'm going to tell you about everything I see in this box and just let you know that of course Sipeed sent this to me.,happiness,excitement,mild
00:00:47,00:00:48,I did not pay for this.,happiness,admiration,mild
00:00:48,00:00:54,"And I will be buying one of these when they're for sale, but they're on presale right now, so pre sale is always weird.",happiness,excitement,mild
00:00:55,00:01:04,"I'm not going to go deep into the pricing, only to say that Sipeed usually makes things that are a lot cheaper, sometimes without as many features as other products that you could compare it to.",happiness,excitement,mild
00:01:05,00:01:09,"But this is, I think, starting around 40 or 50 bucks for the base model.",happiness,excitement,mild
00:01:09,00:01:16,"And then you add on things like POE power and other stuff, and it can get up to 100 to 200 bucks, depending on where you live.",happiness,excitement,mild
00:01:16,00:01:22,Because in the US we have our wonderful tariffs and also depending on the different options that you choose.,happiness,admiration,mild
00:01:23,00:01:25,So they sent me pretty much everything this comes with.,happiness,admiration,mild
00:01:25,00:01:36,"In the top here, there's this little USB to UART adapter that I think can get four modules UART into the USB of the first module that you install in here.",happiness,excitement,mild
00:01:36,00:01:38,I don't think I'll set this up yet.,happiness,admiration,mild
00:01:38,00:01:41,I will set that up later once I get everything else going.,fear,nervousness,mild
00:01:41,00:01:49,"But they also include again, 65 watt USB C power supply and USB C power cable, which I'm not going to use right now.",happiness,excitement,mild
