Start Time,End Time,Sentence,Corrected Sentence,Translation,Emotion,Intensity
"00:00:00,000","00:00:02,000",Deze aflevering is eerder uitgezonden.,Deze aflevering is eerder uitgezonden.,This episode has been broadcast earlier.,neutral,neutral
"00:00:02,000","00:00:07,000",De informatie hierin is gebaseerd op de situatie van het moment van de oorspronkelijke uitzending.,De informatie hierin is gebaseerd op de situatie van het moment van de oorspronkelijke uitzending.,The information in this is based on the situation of the moment of the original broadcast.,neutral,neutral
"00:00:07,000","00:00:11,000",Door latere ontwikkelingen kan de huidige stand van zaken inmiddels afwijken.,Door latere ontwikkelingen kan de huidige stand van zaken inmiddels afwijken.,"Due to later developments, the current state of affairs can now differ.",neutral,neutral
"00:00:15,000","00:00:18,000",Goedenavond en hartelijk welkom bij Undercover in Nederland.,Goedenavond en hartelijk welkom bij Undercover in Nederland.,Good evening and warmly welcome at Undercover in the Netherlands.,neutral,neutral
"00:00:19,000","00:00:22,000",Vanavond het stuitende vervolg op de uitzending van vorige week.,Vanavond het stuitende vervolg op de uitzending van vorige week.,Tonight the shocking sequel to last week's broadcast.,excitement,moderate
"00:00:22,000","00:00:27,000",Want in ons onderzoek naar afvalcoaches op de zogeheten pro-ana-sites...,Want in ons onderzoek naar afvalcoaches op de zogeheten pro-ana-sites...,Because in our research into waste coaches on the so-called pro-ana sites ...,curiosity,mild
"00:00:27,000","00:00:32,000",...komen wij een levensgevaarlijke man op het spoor die zo snel mogelijk achter de tralies moet.,...komen wij een levensgevaarlijke man op het spoor die zo snel mogelijk achter de tralies moet.,... we will track a life -threatening man who has to go behind bars as quickly as possible.,optimism,intense
"00:00:33,000","00:00:37,000",Wij zetten een val op voor deze man die werkelijk alle grenzen overschrijdt.,Wij zetten een val op voor deze man die werkelijk alle grenzen overschrijdt.,We set up a fall for this man who really exceeds all boundaries.,optimism,intense
"00:00:40,000","00:00:44,000",Hij wil een meisje met anorexia volledig in zijn macht hebben en vernederen.,Hij wil een meisje met anorexia volledig in zijn macht hebben en vernederen.,He wants to have a girl with anorexia completely in his power and humiliate.,disgust,intense
"00:00:45,000","00:00:49,000","Je voert al mijn opdrachten uit. Wanneer je dat niet doet, krijg je straf.","Je voert al mijn opdrachten uit. Wanneer je dat niet doet, krijg je straf.","You carry out all my assignments. If you don't, you get punishment.",anger,intense
"00:00:50,000","00:00:53,000",Hij heeft een hotelkamer geboekt en wil daar seks met het kind.,Hij heeft een hotelkamer geboekt en wil daar seks met het kind.,He has booked a hotel room and wants sex with the child there.,disgust,intense
"00:00:54,000","00:00:57,000",Wij betrappen de afvalcoach op hete daad en ik grijp in.,Wij betrappen de afvalcoach op hete daad en ik grijp in.,We catch the waste coach for a hot act and I intervene.,optimism,intense
"00:00:57,000","00:00:59,000","Je bent een zogenaamde pro-ana-coach, hè?","Je bent een zogenaamde pro-ana-coach, hè?","You are a so-called pro-ana coach, right?",disapproval,moderate
"00:01:00,000","00:01:03,000",Je denkt even af te kunnen spreken met een 15-jarig meisje.,Je denkt even af te kunnen spreken met een 15-jarig meisje.,You think you can meet up with a 15-year-old girl.,disapproval,intense
"00:01:03,000","00:01:06,000",De confrontatie krijgt een hele bijzondere wending.,De confrontatie krijgt een hele bijzondere wending.,The confrontation is given a very special turn.,surprise,moderate
